X,title,date_posted,position,location,url,District,Archive_Date
1,Sub Nurse,9/23/2020,Student Support Services/,Big Horn Co School District 1,https://www.applitrack.com/bighorn1/onlineapp/JobPostings/view.asp?all=1,Big Horn School District 1,1/3/2025
2,Sub - Teacher,9/23/2020,Substitute/,Big Horn Co School District 1,https://www.applitrack.com/bighorn1/onlineapp/JobPostings/view.asp?all=1,Big Horn School District 1,1/3/2025
3,Sub- Custodial/Cook/Secretary,9/23/2020,Support Staff/,Big Horn Co School District 1,https://www.applitrack.com/bighorn1/onlineapp/JobPostings/view.asp?all=1,Big Horn School District 1,1/3/2025
4,Sub - Paraprofessional,9/23/2020,Support Staff/,Big Horn Co School District 1,https://www.applitrack.com/bighorn1/onlineapp/JobPostings/view.asp?all=1,Big Horn School District 1,1/3/2025
5,Sub- Route Bus Driver - Burlington,9/23/2020,Support Staff/,Bus Barn - South,https://www.applitrack.com/bighorn1/onlineapp/JobPostings/view.asp?all=1,Big Horn School District 1,1/3/2025
6,Sub- Route Bus Driver - Cowley,9/23/2020,Support Staff/,Bus Barn - North,https://www.applitrack.com/bighorn1/onlineapp/JobPostings/view.asp?all=1,Big Horn School District 1,1/3/2025
7,Substitute Teacher,3/30/2022,Substitute/,Big Horn County School District #2,https://www.applitrack.com/bgh2/onlineapp/default.aspx?all=1,Big Horn School District 2,1/3/2025
8,Special Education Paraprofessional,10/30/2024,Support Staff/,Lovell Elementary School,https://www.applitrack.com/bgh2/onlineapp/default.aspx?all=1,Big Horn School District 2,1/3/2025
9,Substitute Route and Activity Bus Drivers,3/29/2022,Transportation,Big Horn County School District #2,https://www.applitrack.com/bgh2/onlineapp/default.aspx?all=1,Big Horn School District 2,1/3/2025
10,High School Principal,12/16/2024,Administration/,Greybull High School,https://www.applitrack.com/bighorn/onlineapp/default.aspx?all=1,Big Horn School District 3,1/3/2025
11,Paraprofessional- Elementary School,12/31/2024,Support Staff/,Greybull Elementary School(High-Needs School),https://www.applitrack.com/bighorn/onlineapp/default.aspx?all=1,Big Horn School District 3,1/3/2025
12,High School Assistant Wrestling Coach-4th Coach,12/16/2024,Athletics/Activities,Greybull High School,https://www.applitrack.com/bighorn/onlineapp/default.aspx?all=1,Big Horn School District 3,1/3/2025
13,Agriculture Teacher - FFA Sponsor,12/16/2024,High School Teaching,Greybull High School,https://www.applitrack.com/bighorn/onlineapp/default.aspx?all=1,Big Horn School District 3,1/3/2025
14,Special Education Teacher - Resource/Life Skills,12/16/2024,High School Teaching/,Greybull High School,https://www.applitrack.com/bighorn/onlineapp/default.aspx?all=1,Big Horn School District 3,1/3/2025
15,Substitute Teacher,7/5/2017,Substitute/,District Wide,https://www.applitrack.com/bighorn/onlineapp/default.aspx?all=1,Big Horn School District 3,1/3/2025
16,Middle School Track Coach,8/29/2024,Athletics/Activities,District Wide,https://www.applitrack.com/bighorn/onlineapp/default.aspx?all=1,Big Horn School District 3,1/3/2025
17,24-25 Substitute Bus Driver / Activity Driver,12/17/2024,Transportation/,Transportation,https://www.applitrack.com/bighorn/onlineapp/default.aspx?all=1,Big Horn School District 3,1/3/2025
18,Special Education Paraprofessional,12/10/2024,Paraprofessional/,Laura Irwin Elementary,https://www.applitrack.com/bgh4/onlineapp/default.aspx?all=1,Big Horn School District 4,1/3/2025
19,21 CCLC After School Program Activity Leaders,1/21/2020,Student Support Services,Laura Irwin Elementary,https://www.applitrack.com/bgh4/onlineapp/default.aspx?all=1,Big Horn School District 4,1/3/2025
20,Bus Driver,1/7/2022,Support Staff,District,https://www.applitrack.com/bgh4/onlineapp/default.aspx?all=1,Big Horn School District 4,1/3/2025
21,Rawlins Aquatics Center,2/16/2024,Aquatics/,Rawlins Aquatics Center,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,1/3/2025
22,Rawlins Aquatics Center - Part Time,2/16/2024,Aquatics/,Rawlins Aquatics Center,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,1/3/2025
23,Rawlins Aquatics Center - Full Time,2/16/2024,Aquatics/,Rawlins Aquatics Center,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,1/3/2025
24,Part Time Goalie Coach,12/9/2024,Athletics/Activities/,Rawlins High School,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,1/3/2025
25,Head Golf Coach,12/9/2024,Athletics/Activities/,Rawlins High School,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,1/3/2025
26,Part Time Pre-K Teacher,10/3/2024,Elementary School Teaching/,Rawlins Elementary School,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,1/3/2025
27,Music Teacher,10/3/2024,Elementary School Teaching/,Rawlins Elementary School(High-Needs School),https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,1/3/2025
28,Food Service - Substitute,2/16/2024,Food Service,Little Snake River Valley School,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,1/3/2025
29,Food Service Substitute,2/16/2024,Food Service,District,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,1/3/2025
30,Science Teacher,11/15/2024,High School Teaching,Victory High School,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,1/3/2025
31,P.E./Health K-12 Teacher,10/3/2024,High School Teaching/,Little Snake River Valley School,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,1/3/2025
32,Custodial - Substitute,2/16/2024,Maintenance/Custodial,District,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,1/3/2025
33,Custodial - Substitute,2/16/2024,Maintenance/Custodial,Little Snake River Valley School,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,1/3/2025
34,Maintenance Worker,10/24/2024,Maintenance/Custodial/,District,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,1/3/2025
35,Middle School Math Teacher,3/11/2024,Middle School Teaching,Little Snake River Valley School,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,1/3/2025
36,Choir Teacher/Music,10/3/2024,Middle School Teaching/,Rawlins Middle School,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,1/3/2025
37,Special Education Teacher,11/21/2024,Special Education,All Rawlins Schools,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,1/3/2025
38,Special Education Teacher,12/16/2024,Special Education,Little Snake River Valley School,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,1/3/2025
39,Special Education Teacher,12/20/2024,Special Education,Rawlins Elementary School,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,1/3/2025
40,Special Ed. Para Professional,12/4/2024,Special Education/,Rawlins Elementary School,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,1/3/2025
41,Special Education Teacher,10/3/2024,Special Education/,Rawlins High School,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,1/3/2025
42,Special Ed. Para Professional,10/28/2024,Special Education/,Rawlins High School,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,1/3/2025
43,Special Ed. Para Professional-Part Time,11/11/2024,Special Education/,Little Snake River Valley School,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,1/3/2025
44,Special Ed. Teacher (High Needs),2/6/2024,Special Education/,Rawlins Elementary School,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,1/3/2025
45,Special Ed. Para Professionals,6/13/2024,Special Education/,Rawlins Middle School,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,1/3/2025
46,Special Ed. Para Professional,8/14/2024,Special Education/,Rawlins Middle School,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,1/3/2025
47,Substitute Teacher,4/23/2024,Substitute/,District,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,1/3/2025
48,LSRV Substitute Teacher,4/23/2024,Substitute/,Little Snake River Valley School,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,1/3/2025
49,Success Coach,11/8/2024,Support Staff/,Victory High School,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,1/3/2025
50,Bus Detailer,9/22/2023,Transportation,Transportation,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,1/3/2025
51,Bus Driver,11/17/2023,Transportation/,District,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,1/3/2025
52,Substitute Bus Driver,9/13/2022,Transportation/,District,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,1/3/2025
53,Bus Driver,9/22/2023,Transportation/,District,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,1/3/2025
54,Substitute Bus Driver,9/22/2023,Transportation/,District,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,1/3/2025
55,Other Assistant Middle School Track Coach,6/4/2024,Athletics/Activities/,Encampment K-12,https://www.applitrack.com/crb2/onlineapp/default.aspx?all=1,Carbon County School District 2,1/3/2025
56,Assistant High School Boys Basketball Coach,7/31/2024,Athletics/Activities/,H-E-M Junior/Senior High School,https://www.applitrack.com/crb2/onlineapp/default.aspx?all=1,Carbon County School District 2,1/3/2025
57,2nd Other Assistant Middle School Boys Basketball Coach,12/10/2024,Athletics/Activities/,Saratoga Middle High School,https://www.applitrack.com/crb2/onlineapp/default.aspx?all=1,Carbon County School District 2,1/3/2025
58,1st Assistant (Head) Middle School Track Coach,12/10/2024,Athletics/Activities/,Saratoga Middle High School,https://www.applitrack.com/crb2/onlineapp/default.aspx?all=1,Carbon County School District 2,1/3/2025
59,Other Assistant Middle School Track Coach,12/10/2024,Athletics/Activities/,Saratoga Middle High School,https://www.applitrack.com/crb2/onlineapp/default.aspx?all=1,Carbon County School District 2,1/3/2025
60,Middle School Girls First Assistant (Head) Wrestling Coach,12/19/2024,Athletics/Activities/,Saratoga Middle High School,https://www.applitrack.com/crb2/onlineapp/default.aspx?all=1,Carbon County School District 2,1/3/2025
61,Occupational Therapist(s),12/22/2023,Student Support Services/,CCSD#2,https://www.applitrack.com/crb2/onlineapp/default.aspx?all=1,Carbon County School District 2,1/3/2025
62,Speech Language Pathologist,3/4/2022,Student Support Services/,CCSD#2,https://www.applitrack.com/crb2/onlineapp/default.aspx?all=1,Carbon County School District 2,1/3/2025
