"","Category","Sum","Institution"
"1","CTE",50,"Total"
"2","Culinary/Hospitality",2,"Total"
"3","Education",3,"Total"
"4","History",4,"Total"
"5","Humanities",6,"Total"
"6","Legal",1,"Total"
"7","Library",2,"Total"
"8","Math",6,"Total"
"9","Physical Education",3,"Total"
"10","Science",23,"Total"
"11","Social Science",6,"Total"
"12","The Arts",24,"Total"
"13","Uncategorized",39,"Total"
"14","CTE",1,"Casper College"
"15","CTE",5,"Gillette College"
"16","CTE",12,"Laramie County Community College"
"17","CTE",1,"Northwest College"
"18","CTE",12,"Sheridan College"
"19","CTE",10,"University of Wyoming"
"20","CTE",9,"Western Wyoming Community College"
"21","Culinary/Hospitality",2,"Sheridan College"
"22","Education",1,"Casper College"
"23","Education",1,"University of Wyoming"
"24","Education",1,"Western Wyoming Community College"
"25","History",1,"Laramie County Community College"
"26","History",2,"Sheridan College"
"27","History",1,"Western Wyoming Community College"
"28","Humanities",3,"Laramie County Community College"
"29","Humanities",2,"Sheridan College"
"30","Humanities",1,"University of Wyoming"
"31","Legal",1,"University of Wyoming"
"32","Library",1,"Central Wyoming College"
"33","Library",1,"Laramie County Community College"
"34","Math",1,"Eastern Wyoming Community College"
"35","Math",3,"Laramie County Community College"
"36","Math",1,"Sheridan College"
"37","Math",1,"University of Wyoming"
"38","Physical Education",2,"Laramie County Community College"
"39","Physical Education",1,"Western Wyoming Community College"
"40","Science",1,"Central Wyoming College"
"41","Science",1,"Gillette College"
"42","Science",8,"Laramie County Community College"
"43","Science",4,"Sheridan College"
"44","Science",7,"University of Wyoming"
"45","Science",2,"Western Wyoming Community College"
"46","Social Science",1,"Gillette College"
"47","Social Science",4,"Laramie County Community College"
"48","Social Science",1,"Western Wyoming Community College"
"49","The Arts",1,"Central Wyoming College"
"50","The Arts",2,"Laramie County Community College"
"51","The Arts",17,"Sheridan College"
"52","The Arts",1,"University of Wyoming"
"53","The Arts",3,"Western Wyoming Community College"
"54","Uncategorized",3,"Casper College"
"55","Uncategorized",2,"Central Wyoming College"
"56","Uncategorized",1,"Eastern Wyoming Community College"
"57","Uncategorized",14,"Laramie County Community College"
"58","Uncategorized",1,"Northwest College"
"59","Uncategorized",15,"University of Wyoming"
"60","Uncategorized",3,"Western Wyoming Community College"
