"","Broad_Category","Archive_Date","District","sum"
"1","Art","2025-01-17","Total",1
"2","Art","2025-01-24","Total",3
"3","Art","2025-01-31","Total",4
"4","Art","2025-02-07","Total",4
"5","Art","2025-02-14","Total",4
"6","Art","2025-02-21","Total",4
"7","Art","2025-02-28","Total",4
"8","Art","2025-03-07","Total",4
"9","Art","2025-03-14","Total",7
"10","Art","2025-03-21","Total",4
"11","Art","2025-03-28","Total",6
"12","Art","2025-04-04","Total",8
"13","Art","2025-04-11","Total",8
"14","Art","2025-04-18","Total",7
"15","Art","2025-04-25","Total",8
"16","Art","2025-05-02","Total",8
"17","Art","2025-05-09","Total",8
"18","Art","2025-05-16","Total",6
"19","Art","2025-05-23","Total",3
"20","Art","2025-05-30","Total",2
"21","Art","2025-06-06","Total",2
"22","Art","2025-06-13","Total",2
"23","Art","2025-06-20","Total",2
"24","Art","2025-06-27","Total",1
"25","Art","2025-07-04","Total",1
"26","Art","2025-07-11","Total",1
"27","Art","2025-07-18","Total",2
"28","Art","2025-07-25","Total",2
"29","Art","2025-08-01","Total",1
"30","Art","2025-08-08","Total",1
"31","Art","2025-08-15","Total",1
"32","Art","2025-08-22","Total",1
"33","Art","2025-08-29","Total",1
"34","Art","2025-11-07","Total",1
"35","Art","2025-11-14","Total",2
"36","Art","2025-11-21","Total",2
"37","Art","2025-11-28","Total",2
"38","Art","2025-12-05","Total",2
"39","Art","2025-12-12","Total",3
"40","Art","2025-12-19","Total",3
"41","Art","2025-12-26","Total",3
"42","Art","2026-01-02","Total",3
"43","Art","2026-01-09","Total",2
"44","Art","2026-01-16","Total",3
"45","Art","2026-01-23","Total",3
"46","Art","2026-01-30","Total",4
"47","Art","2026-02-06","Total",3
"48","Art","2026-02-13","Total",4
"49","Art","2026-02-20","Total",5
"50","Art","2026-02-27","Total",3
"51","CTE","2024-08-09","Total",10
"52","CTE","2024-08-16","Total",3
"53","CTE","2024-08-23","Total",2
"54","CTE","2024-08-30","Total",1
"55","CTE","2024-09-06","Total",1
"56","CTE","2024-09-13","Total",1
"57","CTE","2024-09-20","Total",1
"58","CTE","2024-09-27","Total",1
"59","CTE","2024-10-04","Total",1
"60","CTE","2024-10-11","Total",1
"61","CTE","2024-10-18","Total",1
"62","CTE","2024-10-25","Total",1
"63","CTE","2024-11-01","Total",1
"64","CTE","2024-11-08","Total",1
"65","CTE","2024-11-15","Total",1
"66","CTE","2024-11-22","Total",2
"67","CTE","2024-11-29","Total",2
"68","CTE","2024-12-06","Total",5
"69","CTE","2024-12-13","Total",5
"70","CTE","2024-12-20","Total",6
"71","CTE","2024-12-27","Total",6
"72","CTE","2025-01-03","Total",5
"73","CTE","2025-01-10","Total",5
"74","CTE","2025-01-17","Total",5
"75","CTE","2025-01-24","Total",7
"76","CTE","2025-01-31","Total",8
"77","CTE","2025-02-07","Total",12
"78","CTE","2025-02-14","Total",15
"79","CTE","2025-02-21","Total",16
"80","CTE","2025-02-28","Total",18
"81","CTE","2025-03-07","Total",19
"82","CTE","2025-03-14","Total",23
"83","CTE","2025-03-21","Total",20
"84","CTE","2025-03-28","Total",20
"85","CTE","2025-04-04","Total",15
"86","CTE","2025-04-11","Total",20
"87","CTE","2025-04-18","Total",16
"88","CTE","2025-04-25","Total",17
"89","CTE","2025-05-02","Total",15
"90","CTE","2025-05-09","Total",18
"91","CTE","2025-05-16","Total",18
"92","CTE","2025-05-23","Total",17
"93","CTE","2025-05-30","Total",14
"94","CTE","2025-06-06","Total",13
"95","CTE","2025-06-13","Total",11
"96","CTE","2025-06-20","Total",9
"97","CTE","2025-06-27","Total",7
"98","CTE","2025-07-04","Total",8
"99","CTE","2025-07-11","Total",8
"100","CTE","2025-07-18","Total",8
"101","CTE","2025-07-25","Total",9
"102","CTE","2025-08-01","Total",9
"103","CTE","2025-08-08","Total",7
"104","CTE","2025-08-15","Total",4
"105","CTE","2025-08-22","Total",4
"106","CTE","2025-08-29","Total",4
"107","CTE","2025-09-05","Total",2
"108","CTE","2025-09-12","Total",2
"109","CTE","2025-09-19","Total",2
"110","CTE","2025-09-26","Total",2
"111","CTE","2025-10-03","Total",1
"112","CTE","2025-10-10","Total",1
"113","CTE","2025-10-31","Total",1
"114","CTE","2025-11-07","Total",3
"115","CTE","2025-11-14","Total",3
"116","CTE","2025-11-21","Total",4
"117","CTE","2025-11-28","Total",4
"118","CTE","2025-12-05","Total",4
"119","CTE","2025-12-12","Total",6
"120","CTE","2025-12-19","Total",6
"121","CTE","2025-12-26","Total",6
"122","CTE","2026-01-02","Total",6
"123","CTE","2026-01-09","Total",5
"124","CTE","2026-01-16","Total",3
"125","CTE","2026-01-23","Total",3
"126","CTE","2026-01-30","Total",3
"127","CTE","2026-02-06","Total",4
"128","CTE","2026-02-13","Total",6
"129","CTE","2026-02-20","Total",6
"130","CTE","2026-02-27","Total",7
"131","Early Childhood","2024-08-09","Total",7
"132","Early Childhood","2024-08-16","Total",4
"133","Early Childhood","2024-08-23","Total",4
"134","Early Childhood","2024-08-30","Total",2
"135","Early Childhood","2024-09-06","Total",3
"136","Early Childhood","2024-09-13","Total",3
"137","Early Childhood","2024-09-20","Total",3
"138","Early Childhood","2024-09-27","Total",3
"139","Early Childhood","2024-10-04","Total",3
"140","Early Childhood","2024-10-11","Total",4
"141","Early Childhood","2024-10-18","Total",5
"142","Early Childhood","2024-10-25","Total",5
"143","Early Childhood","2024-11-01","Total",5
"144","Early Childhood","2024-11-08","Total",4
"145","Early Childhood","2024-11-15","Total",4
"146","Early Childhood","2024-11-22","Total",5
"147","Early Childhood","2024-11-29","Total",5
"148","Early Childhood","2024-12-06","Total",6
"149","Early Childhood","2024-12-13","Total",6
"150","Early Childhood","2024-12-20","Total",5
"151","Early Childhood","2024-12-27","Total",5
"152","Early Childhood","2025-01-03","Total",5
"153","Early Childhood","2025-01-10","Total",5
"154","Early Childhood","2025-01-17","Total",4
"155","Early Childhood","2025-01-24","Total",2
"156","Early Childhood","2025-01-31","Total",1
"157","Early Childhood","2025-02-07","Total",1
"158","Early Childhood","2025-02-14","Total",3
"159","Early Childhood","2025-02-21","Total",3
"160","Early Childhood","2025-02-28","Total",3
"161","Early Childhood","2025-03-07","Total",2
"162","Early Childhood","2025-03-14","Total",4
"163","Early Childhood","2025-03-21","Total",4
"164","Early Childhood","2025-03-28","Total",4
"165","Early Childhood","2025-04-04","Total",5
"166","Early Childhood","2025-04-11","Total",3
"167","Early Childhood","2025-04-18","Total",4
"168","Early Childhood","2025-04-25","Total",5
"169","Early Childhood","2025-05-02","Total",7
"170","Early Childhood","2025-05-09","Total",5
"171","Early Childhood","2025-05-16","Total",4
"172","Early Childhood","2025-05-23","Total",4
"173","Early Childhood","2025-05-30","Total",4
"174","Early Childhood","2025-06-06","Total",4
"175","Early Childhood","2025-06-13","Total",4
"176","Early Childhood","2025-06-20","Total",4
"177","Early Childhood","2025-06-27","Total",4
"178","Early Childhood","2025-07-04","Total",4
"179","Early Childhood","2025-07-11","Total",4
"180","Early Childhood","2025-07-18","Total",4
"181","Early Childhood","2025-07-25","Total",4
"182","Early Childhood","2025-08-01","Total",3
"183","Early Childhood","2025-08-08","Total",4
"184","Early Childhood","2025-08-15","Total",4
"185","Early Childhood","2025-08-22","Total",3
"186","Early Childhood","2025-08-29","Total",3
"187","Early Childhood","2025-09-05","Total",3
"188","Early Childhood","2025-09-12","Total",1
"189","Early Childhood","2025-09-19","Total",1
"190","Early Childhood","2025-09-26","Total",2
"191","Early Childhood","2025-10-03","Total",2
"192","Early Childhood","2025-10-10","Total",2
"193","Early Childhood","2025-10-17","Total",2
"194","Early Childhood","2025-10-24","Total",2
"195","Early Childhood","2025-10-31","Total",1
"196","Early Childhood","2025-11-07","Total",1
"197","Early Childhood","2025-11-14","Total",1
"198","Early Childhood","2026-01-09","Total",1
"199","Early Childhood","2026-01-16","Total",2
"200","Early Childhood","2026-01-23","Total",2
"201","Early Childhood","2026-01-30","Total",2
"202","Early Childhood","2026-02-06","Total",2
"203","Early Childhood","2026-02-13","Total",2
"204","Early Childhood","2026-02-20","Total",2
"205","Early Childhood","2026-02-27","Total",2
"206","Elementary","2024-08-09","Total",18
"207","Elementary","2024-08-16","Total",8
"208","Elementary","2024-08-23","Total",6
"209","Elementary","2024-08-30","Total",8
"210","Elementary","2024-09-06","Total",6
"211","Elementary","2024-09-13","Total",7
"212","Elementary","2024-09-20","Total",5
"213","Elementary","2024-09-27","Total",7
"214","Elementary","2024-10-04","Total",9
"215","Elementary","2024-10-11","Total",8
"216","Elementary","2024-10-18","Total",5
"217","Elementary","2024-10-25","Total",5
"218","Elementary","2024-11-01","Total",6
"219","Elementary","2024-11-08","Total",5
"220","Elementary","2024-11-15","Total",7
"221","Elementary","2024-11-22","Total",7
"222","Elementary","2024-11-29","Total",7
"223","Elementary","2024-12-06","Total",7
"224","Elementary","2024-12-13","Total",6
"225","Elementary","2024-12-20","Total",8
"226","Elementary","2024-12-27","Total",8
"227","Elementary","2025-01-03","Total",10
"228","Elementary","2025-01-10","Total",11
"229","Elementary","2025-01-17","Total",10
"230","Elementary","2025-01-24","Total",16
"231","Elementary","2025-01-31","Total",17
"232","Elementary","2025-02-07","Total",23
"233","Elementary","2025-02-14","Total",35
"234","Elementary","2025-02-21","Total",41
"235","Elementary","2025-02-28","Total",36
"236","Elementary","2025-03-07","Total",40
"237","Elementary","2025-03-14","Total",64
"238","Elementary","2025-03-21","Total",64
"239","Elementary","2025-03-28","Total",56
"240","Elementary","2025-04-04","Total",65
"241","Elementary","2025-04-11","Total",56
"242","Elementary","2025-04-18","Total",42
"243","Elementary","2025-04-25","Total",44
"244","Elementary","2025-05-02","Total",46
"245","Elementary","2025-05-09","Total",53
"246","Elementary","2025-05-16","Total",53
"247","Elementary","2025-05-23","Total",57
"248","Elementary","2025-05-30","Total",45
"249","Elementary","2025-06-06","Total",35
"250","Elementary","2025-06-13","Total",35
"251","Elementary","2025-06-20","Total",29
"252","Elementary","2025-06-27","Total",27
"253","Elementary","2025-07-04","Total",23
"254","Elementary","2025-07-11","Total",21
"255","Elementary","2025-07-18","Total",19
"256","Elementary","2025-07-25","Total",19
"257","Elementary","2025-08-01","Total",24
"258","Elementary","2025-08-08","Total",11
"259","Elementary","2025-08-15","Total",11
"260","Elementary","2025-08-22","Total",12
"261","Elementary","2025-08-29","Total",10
"262","Elementary","2025-09-05","Total",3
"263","Elementary","2025-09-12","Total",4
"264","Elementary","2025-09-19","Total",8
"265","Elementary","2025-09-26","Total",7
"266","Elementary","2025-10-03","Total",7
