"","Category","Archive_Date","Institution","sum"
"1","CTE",2024-08-09,"Total",54
"2","CTE",2024-08-16,"Total",55
"3","CTE",2024-08-23,"Total",53
"4","CTE",2024-08-30,"Total",52
"5","CTE",2024-09-06,"Total",54
"6","CTE",2024-09-13,"Total",53
"7","CTE",2024-09-20,"Total",53
"8","CTE",2024-09-27,"Total",52
"9","CTE",2024-10-04,"Total",51
"10","CTE",2024-10-11,"Total",52
"11","CTE",2024-10-18,"Total",57
"12","CTE",2024-10-25,"Total",55
"13","CTE",2024-11-01,"Total",58
"14","CTE",2024-11-08,"Total",59
"15","CTE",2024-11-15,"Total",61
"16","CTE",2024-11-22,"Total",60
"17","CTE",2024-11-29,"Total",59
"18","CTE",2024-12-06,"Total",62
"19","CTE",2024-12-13,"Total",60
"20","CTE",2024-12-20,"Total",60
"21","CTE",2024-12-27,"Total",58
"22","CTE",2025-01-03,"Total",57
"23","CTE",2025-01-10,"Total",58
"24","CTE",2025-01-17,"Total",53
"25","CTE",2025-01-24,"Total",49
"26","CTE",2025-01-31,"Total",49
"27","CTE",2025-02-07,"Total",49
"28","CTE",2025-02-14,"Total",49
"29","CTE",2025-02-21,"Total",47
"30","CTE",2025-02-28,"Total",47
"31","CTE",2025-03-07,"Total",40
"32","CTE",2025-03-14,"Total",38
"33","CTE",2025-03-21,"Total",39
"34","CTE",2025-03-28,"Total",44
"35","CTE",2025-04-04,"Total",49
"36","CTE",2025-04-11,"Total",50
"37","CTE",2025-04-18,"Total",47
"38","CTE",2025-04-25,"Total",51
"39","CTE",2025-05-02,"Total",58
"40","CTE",2025-05-09,"Total",59
"41","CTE",2025-05-16,"Total",63
"42","CTE",2025-05-23,"Total",60
"43","CTE",2025-05-30,"Total",64
"44","CTE",2025-06-06,"Total",60
"45","CTE",2025-06-13,"Total",60
"46","CTE",2025-06-20,"Total",64
"47","CTE",2025-06-27,"Total",64
"48","CTE",2025-07-04,"Total",62
"49","CTE",2025-07-11,"Total",60
"50","CTE",2025-07-18,"Total",61
"51","CTE",2025-07-25,"Total",61
"52","CTE",2025-08-01,"Total",60
"53","CTE",2025-08-08,"Total",57
"54","CTE",2025-08-15,"Total",60
"55","CTE",2025-08-22,"Total",59
"56","CTE",2025-08-29,"Total",58
"57","CTE",2025-09-05,"Total",57
"58","CTE",2025-09-12,"Total",56
"59","CTE",2025-09-19,"Total",54
"60","CTE",2025-09-26,"Total",55
"61","CTE",2025-10-03,"Total",56
"62","CTE",2025-10-10,"Total",57
"63","CTE",2025-10-17,"Total",57
"64","CTE",2025-10-24,"Total",57
"65","CTE",2025-10-31,"Total",56
"66","CTE",2025-11-07,"Total",56
"67","CTE",2025-11-14,"Total",55
"68","CTE",2025-11-21,"Total",54
"69","CTE",2025-11-28,"Total",53
"70","CTE",2025-12-05,"Total",53
"71","CTE",2025-12-12,"Total",51
"72","CTE",2025-12-19,"Total",53
"73","CTE",2025-12-26,"Total",56
"74","CTE",2026-01-02,"Total",55
"75","CTE",2026-01-09,"Total",55
"76","CTE",2026-01-16,"Total",52
"77","CTE",2026-01-23,"Total",54
"78","CTE",2026-01-30,"Total",52
"79","CTE",2026-02-06,"Total",54
"80","CTE",2026-02-13,"Total",52
"81","CTE",2026-02-20,"Total",49
"82","CTE",2026-02-27,"Total",50
"83","Culinary/Hospitality",2024-08-09,"Total",5
"84","Culinary/Hospitality",2024-08-16,"Total",3
"85","Culinary/Hospitality",2024-08-23,"Total",3
"86","Culinary/Hospitality",2024-08-30,"Total",3
"87","Culinary/Hospitality",2024-09-06,"Total",4
"88","Culinary/Hospitality",2024-09-13,"Total",2
"89","Culinary/Hospitality",2024-09-20,"Total",2
"90","Culinary/Hospitality",2024-09-27,"Total",2
"91","Culinary/Hospitality",2024-10-04,"Total",2
"92","Culinary/Hospitality",2024-10-11,"Total",4
"93","Culinary/Hospitality",2024-10-18,"Total",2
"94","Culinary/Hospitality",2024-10-25,"Total",4
"95","Culinary/Hospitality",2024-11-01,"Total",2
"96","Culinary/Hospitality",2024-11-08,"Total",2
"97","Culinary/Hospitality",2024-11-15,"Total",4
"98","Culinary/Hospitality",2024-11-22,"Total",4
"99","Culinary/Hospitality",2024-11-29,"Total",4
"100","Culinary/Hospitality",2024-12-06,"Total",4
"101","Culinary/Hospitality",2024-12-13,"Total",4
"102","Culinary/Hospitality",2024-12-20,"Total",4
"103","Culinary/Hospitality",2024-12-27,"Total",4
"104","Culinary/Hospitality",2025-01-03,"Total",4
"105","Culinary/Hospitality",2025-01-10,"Total",4
"106","Culinary/Hospitality",2025-01-17,"Total",4
"107","Culinary/Hospitality",2025-01-24,"Total",4
"108","Culinary/Hospitality",2025-01-31,"Total",4
"109","Culinary/Hospitality",2025-02-07,"Total",4
"110","Culinary/Hospitality",2025-02-14,"Total",5
"111","Culinary/Hospitality",2025-02-21,"Total",4
"112","Culinary/Hospitality",2025-02-28,"Total",4
"113","Culinary/Hospitality",2025-03-07,"Total",4
"114","Culinary/Hospitality",2025-03-14,"Total",4
"115","Culinary/Hospitality",2025-03-21,"Total",4
"116","Culinary/Hospitality",2025-03-28,"Total",4
"117","Culinary/Hospitality",2025-04-04,"Total",4
"118","Culinary/Hospitality",2025-04-11,"Total",4
"119","Culinary/Hospitality",2025-04-18,"Total",4
"120","Culinary/Hospitality",2025-04-25,"Total",4
"121","Culinary/Hospitality",2025-05-02,"Total",3
"122","Culinary/Hospitality",2025-05-09,"Total",3
"123","Culinary/Hospitality",2025-05-16,"Total",3
"124","Culinary/Hospitality",2025-05-23,"Total",3
"125","Culinary/Hospitality",2025-05-30,"Total",3
"126","Culinary/Hospitality",2025-06-06,"Total",3
"127","Culinary/Hospitality",2025-06-13,"Total",2
"128","Culinary/Hospitality",2025-06-20,"Total",2
"129","Culinary/Hospitality",2025-06-27,"Total",2
"130","Culinary/Hospitality",2025-07-04,"Total",2
"131","Culinary/Hospitality",2025-07-11,"Total",2
"132","Culinary/Hospitality",2025-07-18,"Total",3
"133","Culinary/Hospitality",2025-07-25,"Total",3
"134","Culinary/Hospitality",2025-08-01,"Total",3
"135","Culinary/Hospitality",2025-08-08,"Total",3
"136","Culinary/Hospitality",2025-08-15,"Total",3
"137","Culinary/Hospitality",2025-08-22,"Total",3
"138","Culinary/Hospitality",2025-08-29,"Total",3
"139","Culinary/Hospitality",2025-09-05,"Total",3
"140","Culinary/Hospitality",2025-09-12,"Total",3
"141","Culinary/Hospitality",2025-09-19,"Total",3
"142","Culinary/Hospitality",2025-09-26,"Total",3
"143","Culinary/Hospitality",2025-10-03,"Total",3
"144","Culinary/Hospitality",2025-10-10,"Total",3
"145","Culinary/Hospitality",2025-10-17,"Total",3
"146","Culinary/Hospitality",2025-10-24,"Total",3
"147","Culinary/Hospitality",2025-10-31,"Total",3
"148","Culinary/Hospitality",2025-11-07,"Total",3
"149","Culinary/Hospitality",2025-11-14,"Total",3
"150","Culinary/Hospitality",2025-11-21,"Total",3
"151","Culinary/Hospitality",2025-11-28,"Total",2
"152","Culinary/Hospitality",2025-12-05,"Total",2
"153","Culinary/Hospitality",2025-12-12,"Total",2
"154","Culinary/Hospitality",2025-12-19,"Total",2
"155","Culinary/Hospitality",2025-12-26,"Total",2
"156","Culinary/Hospitality",2026-01-02,"Total",2
"157","Culinary/Hospitality",2026-01-09,"Total",2
"158","Culinary/Hospitality",2026-01-16,"Total",2
"159","Culinary/Hospitality",2026-01-23,"Total",2
"160","Culinary/Hospitality",2026-01-30,"Total",2
"161","Culinary/Hospitality",2026-02-06,"Total",2
"162","Culinary/Hospitality",2026-02-13,"Total",2
"163","Culinary/Hospitality",2026-02-20,"Total",2
"164","Culinary/Hospitality",2026-02-27,"Total",2
"165","Education",2024-09-13,"Total",1
"166","Education",2024-09-20,"Total",1
"167","Education",2024-09-27,"Total",1
"168","Education",2024-10-04,"Total",1
"169","Education",2024-10-11,"Total",1
"170","Education",2024-10-18,"Total",1
"171","Education",2024-10-25,"Total",1
"172","Education",2024-11-01,"Total",1
"173","Education",2024-11-08,"Total",1
"174","Education",2024-11-15,"Total",1
"175","Education",2024-11-22,"Total",2
"176","Education",2024-11-29,"Total",2
"177","Education",2024-12-06,"Total",2
"178","Education",2024-12-13,"Total",2
"179","Education",2024-12-20,"Total",3
"180","Education",2024-12-27,"Total",4
"181","Education",2025-01-03,"Total",4
"182","Education",2025-01-10,"Total",4
"183","Education",2025-01-17,"Total",1
"184","Education",2025-01-24,"Total",1
"185","Education",2025-01-31,"Total",1
"186","Education",2025-02-07,"Total",1
"187","Education",2025-02-28,"Total",1
"188","Education",2025-03-07,"Total",1
"189","Education",2025-03-14,"Total",1
"190","Education",2025-03-21,"Total",2
"191","Education",2025-03-28,"Total",2
"192","Education",2025-04-04,"Total",2
"193","Education",2025-04-11,"Total",2
"194","Education",2025-04-18,"Total",2
"195","Education",2025-04-25,"Total",1
"196","Education",2025-05-02,"Total",2
"197","Education",2025-05-09,"Total",2
"198","Education",2025-05-16,"Total",2
"199","Education",2025-05-23,"Total",2
"200","Education",2025-05-30,"Total",2
"201","Education",2025-06-06,"Total",1
"202","Education",2025-06-13,"Total",1
"203","Education",2025-06-27,"Total",1
"204","Education",2025-07-04,"Total",1
"205","Education",2025-07-11,"Total",1
"206","Education",2025-07-18,"Total",2
"207","Education",2025-07-25,"Total",2
"208","Education",2025-08-01,"Total",2
"209","Education",2025-08-08,"Total",3
"210","Education",2025-08-15,"Total",4
"211","Education",2025-08-22,"Total",5
"212","Education",2025-08-29,"Total",5
"213","Education",2025-09-05,"Total",4
"214","Education",2025-09-12,"Total",4
"215","Education",2025-09-19,"Total",4
"216","Education",2025-09-26,"Total",4
"217","Education",2025-10-03,"Total",4
"218","Education",2025-10-10,"Total",4
"219","Education",2025-10-17,"Total",2
"220","Education",2025-10-24,"Total",1
"221","Education",2025-10-31,"Total",2
"222","Education",2025-11-07,"Total",2
"223","Education",2025-11-14,"Total",1
"224","Education",2025-11-21,"Total",1
"225","Education",2025-11-28,"Total",1
"226","Education",2025-12-05,"Total",1
"227","Education",2025-12-12,"Total",1
"228","Education",2025-12-19,"Total",3
"229","Education",2025-12-26,"Total",2
"230","Education",2026-01-02,"Total",2
"231","Education",2026-01-09,"Total",5
"232","Education",2026-01-16,"Total",4
"233","Education",2026-01-23,"Total",2
"234","Education",2026-01-30,"Total",3
"235","Education",2026-02-06,"Total",2
"236","Education",2026-02-13,"Total",3
"237","Education",2026-02-20,"Total",3
"238","Education",2026-02-27,"Total",3
"239","History",2024-08-09,"Total",5
"240","History",2024-08-16,"Total",5
"241","History",2024-08-23,"Total",5
"242","History",2024-08-30,"Total",5
"243","History",2024-09-06,"Total",5
"244","History",2024-09-13,"Total",5
"245","History",2024-09-20,"Total",5
"246","History",2024-09-27,"Total",5
"247","History",2024-10-04,"Total",5
"248","History",2024-10-11,"Total",5
"249","History",2024-10-18,"Total",5
"250","History",2024-10-25,"Total",5
"251","History",2024-11-01,"Total",5
"252","History",2024-11-08,"Total",5
"253","History",2024-11-15,"Total",5
"254","History",2024-11-22,"Total",5
"255","History",2024-11-29,"Total",4
"256","History",2024-12-06,"Total",4
"257","History",2024-12-13,"Total",3
"258","History",2024-12-20,"Total",3
"259","History",2024-12-27,"Total",3
"260","History",2025-01-03,"Total",3
"261","History",2025-01-10,"Total",3
"262","History",2025-01-17,"Total",3
"263","History",2025-01-24,"Total",3
"264","History",2025-01-31,"Total",3
"265","History",2025-02-07,"Total",3
"266","History",2025-02-14,"Total",4
"267","History",2025-02-21,"Total",4
"268","History",2025-02-28,"Total",3
"269","History",2025-03-07,"Total",2
"270","History",2025-03-14,"Total",2
"271","History",2025-03-21,"Total",2
"272","History",2025-03-28,"Total",2
"273","History",2025-04-04,"Total",2
"274","History",2025-04-11,"Total",2
"275","History",2025-04-18,"Total",2
"276","History",2025-04-25,"Total",2
"277","History",2025-05-02,"Total",3
"278","History",2025-05-09,"Total",3
"279","History",2025-05-16,"Total",3
"280","History",2025-05-23,"Total",3
"281","History",2025-05-30,"Total",3
"282","History",2025-06-06,"Total",3
"283","History",2025-06-13,"Total",3
"284","History",2025-06-20,"Total",3
"285","History",2025-06-27,"Total",3
"286","History",2025-07-04,"Total",3
