"","title","Archive_Date","position","location","url","District","Category","Broad_Category"
"1","Secondary English Teacher - Virtual - WYCA",2024-08-09,"Teacher","Big Horn Co School District 1","https://www.applitrack.com/bighorn1/onlineapp/JobPostings/view.asp?all=1","Big Horn School District 1","English Language Arts Education","English Language Arts Secondary"
"2","Secondary Science Teacher - WYCA",2024-08-09,"Teacher","Big Horn Co School District 1","https://www.applitrack.com/bighorn1/onlineapp/JobPostings/view.asp?all=1","Big Horn School District 1","Science Education","STEM"
"3","Social Studies Teacher - Virtual - WYCA",2024-08-09,"Teacher","Big Horn Co School District 1","https://www.applitrack.com/bighorn1/onlineapp/JobPostings/view.asp?all=1","Big Horn School District 1","Social Studies Education","Secondary Social Studies"
"4","Agriculture Teacher - FFA Sponsor",2024-08-09,"Teacher","Greybull High School","https://www.applitrack.com/bighorn/onlineapp/default.aspx?all=1","Big Horn School District 3","Agriculture Education","CTE"
"5","Part Time Pre-K Teacher",2024-08-09,"Teacher","Rawlins Elementary School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","Early Childhood Education","Early Childhood"
"6","Music Teacher",2024-08-09,"Teacher","Rawlins Elementary School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","Music Education","Music"
"7","P.E./ Health Teacher-K-12",2024-08-09,"Teacher","Little Snake River Valley School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","Physical Education","Physical Education"
"8","Middle School Math Teacher",2024-08-09,"Teacher","Little Snake River Valley School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","Mathematics Education","STEM"
"9","Middle School Choir/Music Teacher",2024-08-09,"Teacher","Rawlins Middle School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","Music Education","Music"
"10","Special Education Teacher",2024-08-09,"Teacher","Rawlins Elementary School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","Special Education","Special Education"
"11","Special Ed. Teacher (High Needs)",2024-08-09,"Teacher","Rawlins Elementary School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","Uncategorized","Other"
"12","Rawlins High School Special Education Teacher",2024-08-09,"Teacher","Rawlins High School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","Special Education","Special Education"
"13","Physical Education Teacher",2024-08-09,"Teacher","H-E-M Junior/Senior High School","https://www.applitrack.com/crb2/onlineapp/default.aspx?all=1","Carbon County School District 2","Physical Education","Physical Education"
"14","Music Teacher K-8th Grade (Open Until Filled)",2024-08-09,"Teacher","Fort Washakie Elementary","https://www.applitrack.com/fortwashakieschool/onlineapp/default.aspx?all=1","Fremont County School District 21","Music Education","Music"
"15","Family and Consumer Science Teacher",2024-08-09,"Teacher","Fremont County School District 21","https://www.applitrack.com/fortwashakieschool/onlineapp/default.aspx?all=1","Fremont County School District 21","Family and Consumer Science","CTE"
"16","Special Education Teachers",2024-08-09,"Teacher","Fort Washakie Elementary","https://www.applitrack.com/fortwashakieschool/onlineapp/default.aspx?all=1","Fremont County School District 21","Special Education","Special Education"
"17","Certified Arapaho Language/Culture Teacher",2024-08-09,"Teacher","Fremont County School District 38","https://www.applitrack.com/fcsd38/onlineapp/default.aspx?all=1","Fremont County School District 38","Language Education","Lanugage"
"18","Music Teacher",2024-08-09,"Teacher","Fremont County School District 38","https://www.applitrack.com/fcsd38/onlineapp/default.aspx?all=1","Fremont County School District 38","Music Education","Music"
"19","Music Teacher",2024-08-09,"Teacher","Fremont County School District 38","https://www.applitrack.com/fcsd38/onlineapp/default.aspx?all=1","Fremont County School District 38","Music Education","Music"
"20","Elementary Teacher",2024-08-09,"Teacher","Fremont County School District 38","https://www.applitrack.com/fcsd38/onlineapp/default.aspx?all=1","Fremont County School District 38","Elementary Education","Elementary"
"21","High School Math Teacher",2024-08-09,"Teacher","Fremont County School District 38","https://www.applitrack.com/fcsd38/onlineapp/default.aspx?all=1","Fremont County School District 38","Mathematics Education","STEM"
"22","Special Education Teacher",2024-08-09,"Teacher","Fremont County School District 38","https://www.applitrack.com/fcsd38/onlineapp/default.aspx?all=1","Fremont County School District 38","Special Education","Special Education"
"23","Special Education Teacher",2024-08-09,"Teacher","Fremont County School District 38","https://www.applitrack.com/fcsd38/onlineapp/default.aspx?all=1","Fremont County School District 38","Special Education","Special Education"
"24","High School Social Studies Teacher",2024-08-09,"Teacher","Wyoming Indian High School","https://www.applitrack.com/fremont14/onlineapp/default.aspx?all=1","Fremont County School District 14","Social Studies Education","Secondary Social Studies"
"25","Elementary Special Education Teacher",2024-08-09,"Teacher","Wyoming Indian Elementary School","https://www.applitrack.com/fremont14/onlineapp/default.aspx?all=1","Fremont County School District 14","Special Education","Special Education"
"26","Special Education Teacher",2024-08-09,"Teacher","Hot Springs County School District #1","https://www.applitrack.com/hotsprings1/onlineapp/default.aspx?all=1","Hot Springs School District 1","Special Education","Special Education"
"27","HS English Teacher",2024-08-09,"Teacher","Hot Springs County School District #1","https://www.applitrack.com/hotsprings1/onlineapp/default.aspx?all=1","Hot Springs School District 1","English Language Arts Education","English Language Arts Secondary"
"28","Secondary English Teacher - Middle School",2024-08-09,"Teacher","Thermopolis Middle School","https://www.applitrack.com/hotsprings1/onlineapp/default.aspx?all=1","Hot Springs School District 1","English Language Arts Education","English Language Arts Secondary"
"29","COMPUTER SCIENCE TEACHER - 2024/2025 CONTRACT YEAR ONLY",2024-08-09,"Teacher","JOHNSON JUNIOR HIGH SCHOOL","https://www.applitrack.com/Laramie1/onlineapp/default.aspx?all=1","Laramie County School District 1","Computer Science Education","CTE"
"30","FAMILY AND CONSUMER SCIENCE TEACHER",2024-08-09,"Teacher","CAREY JUNIOR HIGH SCHOOL","https://www.applitrack.com/Laramie1/onlineapp/default.aspx?all=1","Laramie County School District 1","Family and Consumer Science","CTE"
"31","SCIENCE TEACHER",2024-08-09,"Teacher","CENTRAL HIGH SCHOOL","https://www.applitrack.com/Laramie1/onlineapp/default.aspx?all=1","Laramie County School District 1","Science Education","STEM"
