County,Name,Latitude,Longitude,Link,Start_Salary,Top_Salary,Salary_Year,Current
"Albany County, Wyoming",Albany #1,41.309365,-105.569114,https://www.acsd1.org/page/careers,50000,81796,2025-26,Yes
"Big Horn County, Wyoming",Big Horn #4,44.377987,-108.037905,https://www.applitrack.com/bgh4/onlineapp/default.aspx?all=1,54000,82800,2025-26,Yes
"Campbell County, Wyoming",Campbell #1,44.28775,-105.517931,https://campbell.tedk12.com/hire/index.aspx,56000,93200,2025-26,Yes
"Carbon County, Wyoming",Carbon #1,41.795248,-107.230714,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,52750,80000,2025-26,Yes
"Carbon County, Wyoming",Carbon #2,41.457343,-106.807291,https://www.applitrack.com/crb2/onlineapp/default.aspx?all=1,45000,70550,2025-26,Yes
"Converse County, Wyoming",Converse #1,42.75092,-105.379164,https://www.applitrack.com/converse2/onlineapp/default.aspx?all=1,52000,83225,2025-26,Yes
"Converse County, Wyoming",Converse #2,42.858918,-105.847279,https://www.applitrack.com/ccsd1/onlineapp/default.aspx?all=1,51000,70500,2025-26,Yes
"Crook County, Wyoming",Crook #1,44.404144,-104.371531,https://www.applitrack.com/crook/onlineapp/default.aspx?all=1,51500,78650,2025-26,Yes
"Fremont County, Wyoming",Fremont #1,42.832871,-108.742799,https://www.applitrack.com/fremontwy/onlineapp/jobpostings/view.asp?all=1,52200,85000,2025-26,Yes
"Fremont County, Wyoming",Fremont #24,43.245414,-108.116231,https://fremont25.tedk12.com/hire/index.aspx,52000,73500,2025-26,Yes
"Goshen County, Wyoming",Goshen #1,42.069529,-104.192235,https://goshen.tedk12.com/hire/index.aspx#aJobListings,56856,90106,2025-26,Yes
"Hot Springs County, Wyoming",Hot Springs #1,43.650103,-108.208372,https://www.applitrack.com/hotsprings1/onlineapp/default.aspx?all=1,50000,77650,2025-26,Yes
"Johnson County, Wyoming",Johnson #1,44.3502,-106.708699,https://www.applitrack.com/jcsd1/onlineapp/jobpostings/view.asp?internaltransferform.Url=&all=1,49000,86200,2025-26,Yes
"Laramie County, Wyoming",Laramie #1,41.145017,-104.819808,https://laramie1.schoolspring.com/,51750,73750,2025-26,Yes
"Laramie County, Wyoming",Laramie #2,41.176914,-104.064558,https://laramie2.tedk12.com/hire/index.aspx,51750,73750,2025-26,Yes
"Lincoln County, Wyoming",Lincoln #2,42.726201,-110.928226,https://lcsd2.org/employment-opportunities/,58070,103270,2025-26,Yes
"Natrona County, Wyoming",Natrona #1,42.86049,-106.340171,https://natronaschools.tedk12.com/hire/index.aspx,54100,89852,2025-26,Yes
"Niobrara County, Wyoming",Niobrara #1,42.760099,-104.45919,https://www.growingluskleaders.org/page/human-resources,50750,76250,2025-26,Yes
"Park County, Wyoming",Park #1,44.75394,-108.753651,https://www.applitrack.com/park1/onlineapp/default.aspx?all=1,54000,89400,2025-26,Yes
"Park County, Wyoming",Park #6,44.523235,-109.068901,https://www.park16.k12.wy.us/43965_1,50610,82810,2025-26,Yes
